"dy [cm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.2,5.65,0,-124.2,-1.81462503148473
3.2,5.65,0,-124.1,-1.79205591046677
3.2,5.65,0,-124,-1.76950790486034
3.2,5.65,0,-123.9,-1.74698143015808
3.2,5.65,0,-123.8,-1.72447689010586
3.2,5.65,0,-123.7,-1.70199467689792
3.2,5.65,0,-123.6,-1.67953517136961
3.2,5.65,0,-123.5,-1.65709874318785
3.2,5.65,0,-123.4,-1.63468575103933
3.2,5.65,0,-123.3,-1.6122965428164
3.2,5.65,0,-123.2,-1.58993145580063
3.2,5.65,0,-123.1,-1.56759081684407
3.2,5.65,0,-123,-1.54527494254819
3.2,5.65,0,-122.9,-1.52298413944056
3.2,5.65,0,-122.8,-1.50071870414913
3.2,5.65,0,-122.7,-1.47847892357432
3.2,5.65,0,-122.6,-1.45626507505871
